P001,Indomie Goreng,3500.0,100,Mie instan rasa goreng original,S001,Food & Beverages
P002,Aqua 600ml,4000.0,150,Air mineral kemasan botol,S001,Food & Beverages
P003,Silverqueen Chocolate,12000.0,50,Coklat susu premium,S001,Food & Beverages
P004,Teh Botol Sosro,5000.0,80,Minuman teh dalam botol,S001,Food & Beverages
P005,Chitato Sapi Panggang,10000.0,60,Keripik kentang rasa sapi panggang,S001,Food & Beverages
P006,Ultra Milk Coklat,7000.0,70,Susu UHT rasa coklat 250ml,S001,Food & Beverages
P007,Sarimi Ayam Bawang,3000.0,120,Mie instan kuah rasa ayam bawang,S001,Food & Beverages
P008,Good Day Cappuccino,2500.0,90,Kopi instan rasa cappuccino,S001,Food & Beverages
P009,Oreo Original,9500.0,45,Biskuit sandwich krim vanilla,S001,Food & Beverages
P010,Pocari Sweat 500ml,8000.0,65,Minuman isotonik pengganti ion tubuh,S001,Food & Beverages
P011,Nike Running Shoes,450000.0,20,Sepatu lari berkualitas tinggi,S001,Apparel
P012,Sony Headphones,350000.0,15,Headphone nirkabel dengan suara jernih,S001,Electronics
P013,Harry Potter Book Set,250000.0,10,Kumpulan buku Harry Potter lengkap,S001,Books
P014,LEGO Building Set,180000.0,25,Set mainan LEGO untuk semua umur,S001,Toys & Games
P015,Samsung Wireless Charger,120000.0,30,Pengisian daya nirkabel untuk smartphone,S001,Electronics
